date,time,heart_rate
2016-03-16,01:38:00,84
2016-03-16,01:50:00,84
2016-03-16,01:50:00,112
2016-03-16,01:56:00,0
2016-03-16,07:52:00,0
2016-03-16,07:53:00,0
2016-03-16,07:53:00,0
2016-03-16,07:53:00,0
2016-03-16,08:32:00,0
2016-03-16,08:39:00,87
2016-03-16,08:56:00,84
2016-03-16,09:04:00,128
2016-03-16,09:04:00,122
2016-03-16,09:04:00,132
2016-03-16,09:04:00,125
2016-03-16,09:04:00,114
2016-03-16,09:04:00,121
2016-03-16,09:04:00,94
2016-03-16,09:04:00,88
2016-03-16,09:36:00,116
2016-03-16,09:36:00,125
2016-03-16,09:41:00,93
2016-03-16,09:41:00,88
2016-03-16,09:56:00,94
2016-03-16,09:59:00,94
2016-03-16,09:59:00,94
2016-03-16,09:59:00,87
2016-03-16,10:42:00,87
2016-03-16,10:56:00,87
2016-03-16,11:11:00,86
2016-03-16,11:28:00,86
2016-03-16,11:28:00,78
2016-03-16,11:40:00,78
2016-03-16,11:59:00,93
2016-03-16,12:01:00,93
2016-03-16,12:01:00,73
2016-03-16,12:01:00,64
2016-03-16,12:01:00,94
2016-03-16,12:31:00,77
2016-03-16,12:40:00,83
2016-03-16,12:41:00,75
2016-03-16,13:02:00,75
2016-03-16,13:13:00,83
2016-03-16,13:20:00,78
2016-03-16,13:28:00,75
2016-03-16,13:50:00,75
2016-03-16,13:59:00,70
2016-03-16,14:14:00,70
2016-03-16,14:30:00,72
2016-03-16,14:46:00,72
2016-03-16,15:01:00,72
2016-03-16,15:07:00,78
2016-03-16,15:07:00,78
2016-03-16,15:39:00,78
2016-03-16,15:44:00,74
2016-03-16,16:10:00,74
2016-03-16,16:24:00,72
2016-03-16,16:28:00,92
2016-03-16,16:28:00,87
2016-03-16,16:36:00,73
2016-03-16,16:51:00,77
2016-03-16,17:05:00,77
2016-03-16,17:16:00,72
2016-03-16,17:16:00,72
2016-03-16,17:44:00,72
2016-03-16,17:44:00,113
2016-03-16,17:44:00,150
2016-03-16,17:44:00,151
2016-03-16,17:44:00,112
2016-03-16,17:44:00,92
2016-03-16,17:44:00,87
2016-03-16,18:56:00,87
2016-03-16,19:11:00,85
2016-03-16,19:25:00,85
2016-03-16,19:40:00,85
2016-03-16,19:44:00,78
2016-03-16,19:52:00,80
2016-03-16,20:09:00,80
2016-03-16,20:09:00,96
2016-03-16,20:30:00,79
2016-03-16,20:54:00,71
2016-03-16,21:04:00,71
2016-03-16,21:19:00,84
2016-03-16,21:35:00,74
2016-03-16,21:40:00,69
2016-03-16,21:57:00,68
2016-03-16,22:11:00,68
2016-03-16,22:11:00,85
2016-03-16,22:35:00,87
2016-03-16,22:37:00,72
2016-03-16,22:47:00,74
2016-03-16,23:09:00,72
2016-03-16,23:22:00,74
2016-03-16,23:39:00,74
2016-03-16,23:40:00,66
2016-03-16,23:58:00,69
2016-03-17,00:00:00,69
2016-03-17,00:24:00,65
2016-03-17,00:31:00,65
2016-03-17,00:53:00,67
2016-03-17,01:12:00,67
2016-03-17,01:12:00,60
2016-03-17,01:12:00,60
2016-03-17,01:12:00,60
2016-03-17,02:07:00,57
2016-03-17,02:20:00,57
2016-03-17,02:29:00,61
2016-03-17,02:51:00,61
2016-03-17,03:05:00,58
2016-03-17,03:19:00,58
2016-03-17,03:19:00,59
2016-03-17,03:19:00,59
2016-03-17,03:19:00,59
2016-03-17,04:20:00,59
2016-03-17,04:35:00,58
2016-03-17,04:46:00,58
2016-03-17,05:07:00,57
2016-03-17,05:11:00,57
2016-03-17,05:36:00,61
2016-03-17,05:38:00,61
2016-03-17,06:07:00,61
2016-03-17,06:17:00,61
2016-03-17,06:31:00,63
2016-03-17,06:31:00,63
2016-03-17,06:56:00,55
2016-03-17,07:02:00,55
2016-03-17,07:24:00,59
2016-03-17,07:40:00,59
2016-03-17,07:56:00,64
2016-03-17,08:10:00,64
2016-03-17,08:18:00,72
2016-03-17,08:34:00,75
2016-03-17,08:48:00,72
2016-03-17,08:53:00,102
2016-03-17,08:53:00,81
2016-03-17,08:53:00,74
2016-03-17,09:14:00,76
2016-03-17,09:26:00,76
2016-03-17,09:45:00,73
2016-03-17,09:52:00,92
2016-03-17,09:52:00,92
2016-03-17,10:17:00,94
2016-03-17,10:17:00,94
2016-03-17,10:17:00,87
2016-03-17,10:53:00,92
2016-03-17,10:53:00,92
2016-03-17,10:53:00,81
2016-03-17,11:33:00,77
2016-03-17,11:47:00,75
2016-03-17,11:58:00,75
2016-03-17,12:08:00,72
2016-03-17,12:23:00,72
2016-03-17,12:47:00,75
2016-03-17,13:02:00,75
2016-03-17,13:17:00,78
2016-03-17,13:30:00,79
2016-03-17,13:46:00,81
2016-03-17,14:03:00,81
2016-03-17,14:12:00,82
2016-03-17,14:30:00,82
2016-03-17,14:48:00,78
2016-03-17,14:55:00,78
2016-03-17,15:04:00,69
2016-03-17,15:12:00,77
2016-03-17,15:25:00,79
2016-03-17,15:42:00,79
2016-03-17,15:58:00,76
2016-03-17,16:09:00,76
2016-03-17,16:28:00,75
2016-03-17,16:28:00,100
2016-03-17,16:28:00,74
2016-03-17,16:48:00,81
2016-03-17,17:01:00,81
2016-03-17,17:18:00,81
2016-03-17,17:18:00,74
2016-03-17,17:38:00,74
2016-03-17,17:51:00,74
2016-03-17,17:51:00,74
2016-03-17,18:20:00,74
2016-03-17,18:39:00,73
2016-03-17,18:54:00,73
2016-03-17,18:54:00,88
2016-03-17,19:20:00,85
2016-03-17,19:20:00,95
2016-03-17,19:29:00,100
2016-03-17,19:29:00,119
2016-03-17,19:29:00,117
2016-03-17,19:29:00,84
2016-03-17,19:29:00,90
2016-03-17,19:29:00,77
2016-03-17,20:32:00,77
2016-03-17,20:50:00,75
2016-03-17,21:06:00,75
2016-03-17,21:10:00,92
2016-03-17,21:13:00,82
2016-03-17,21:29:00,88
2016-03-17,21:36:00,110
2016-03-17,21:36:00,93
2016-03-17,21:36:00,114
2016-03-17,21:36:00,114
2016-03-17,21:36:00,114
2016-03-17,22:29:00,114
2016-03-17,22:29:00,114
2016-03-17,22:29:00,104
2016-03-17,22:29:00,104
2016-03-17,22:29:00,124
2016-03-17,22:29:00,82
2016-03-17,22:29:00,90
2016-03-17,23:26:00,81
2016-03-17,23:41:00,81
2016-03-17,23:53:00,61
2016-03-18,00:11:00,61
2016-03-18,00:15:00,74
2016-03-18,00:35:00,74
2016-03-18,00:55:00,73
2016-03-18,01:01:00,71
2016-03-18,01:22:00,68
2016-03-18,01:34:00,68
2016-03-18,01:54:00,66
2016-03-18,02:09:00,66
2016-03-18,02:16:00,67
2016-03-18,02:41:00,67
2016-03-18,02:43:00,66
2016-03-18,03:02:00,66
2016-03-18,03:15:00,59
2016-03-18,03:25:00,59
2016-03-18,03:40:00,59
2016-03-18,03:40:00,64
2016-03-18,04:03:00,64
2016-03-18,04:10:00,62
2016-03-18,04:10:00,62
2016-03-18,04:44:00,62
2016-03-18,04:44:00,62
2016-03-18,05:11:00,62
2016-03-18,05:11:00,65
2016-03-18,05:49:00,65
2016-03-18,05:49:00,71
2016-03-18,06:07:00,71
2016-03-18,06:22:00,71
2016-03-18,06:22:00,61
2016-03-18,06:22:00,61
2016-03-18,06:53:00,62
2016-03-18,06:53:00,62
2016-03-18,07:23:00,60
2016-03-18,07:32:00,60
2016-03-18,07:44:00,58
2016-03-18,08:08:00,58
2016-03-18,08:08:00,65
2016-03-18,08:24:00,71
2016-03-18,08:39:00,71
2016-03-18,08:42:00,78
2016-03-18,08:47:00,79
2016-03-18,08:47:00,73
2016-03-18,09:15:00,76
2016-03-18,09:27:00,76
2016-03-18,09:46:00,78
2016-03-18,09:51:00,84
2016-03-18,09:51:00,71
2016-03-18,10:10:00,69
2016-03-18,10:16:00,79
2016-03-18,10:22:00,148
2016-03-18,10:22:00,135
2016-03-18,10:22:00,136
2016-03-18,10:22:00,95
2016-03-18,10:57:00,94
2016-03-18,10:57:00,94
2016-03-18,10:57:00,87
2016-03-18,11:31:00,95
2016-03-18,11:31:00,85
2016-03-18,11:49:00,85
2016-03-18,12:11:00,85
2016-03-18,12:26:00,85
2016-03-18,12:31:00,78
2016-03-18,12:47:00,81
2016-03-18,12:53:00,81
2016-03-18,13:13:00,81
2016-03-18,13:33:00,81
2016-03-18,13:33:00,117
2016-03-18,13:33:00,80
2016-03-18,13:44:00,87
2016-03-18,13:56:00,91
2016-03-18,13:56:00,91
2016-03-18,13:56:00,96
2016-03-18,13:56:00,101
2016-03-18,13:56:00,93
2016-03-18,13:56:00,93
2016-03-18,13:56:00,93
2016-03-18,15:20:00,94
2016-03-18,15:20:00,85
2016-03-18,15:20:00,94
2016-03-18,15:36:00,102
2016-03-18,15:36:00,88
2016-03-18,16:04:00,88
2016-03-18,16:13:00,79
2016-03-18,16:31:00,79
2016-03-18,16:44:00,90
2016-03-18,16:57:00,90
2016-03-18,17:13:00,92
2016-03-18,17:13:00,75
2016-03-18,17:24:00,77
2016-03-18,17:35:00,77
2016-03-18,17:58:00,76
2016-03-18,18:13:00,76
2016-03-18,18:13:00,76
2016-03-18,18:42:00,76
2016-03-18,18:55:00,73
2016-03-18,19:16:00,73
2016-03-18,19:21:00,70
2016-03-18,19:44:00,70
2016-03-18,20:03:00,70
2016-03-18,20:03:00,82
2016-03-18,20:12:00,82
2016-03-18,20:32:00,74
2016-03-18,20:47:00,74
2016-03-18,20:52:00,94
2016-03-18,20:52:00,103
2016-03-18,20:52:00,103
2016-03-18,20:52:00,94
2016-03-18,20:52:00,94
2016-03-18,21:58:00,89
2016-03-18,22:12:00,94
2016-03-18,22:12:00,95
2016-03-18,22:12:00,102
2016-03-18,22:12:00,96
2016-03-18,22:12:00,101
2016-03-18,22:12:00,100
2016-03-18,22:12:00,124
2016-03-18,22:12:00,101
2016-03-18,22:12:00,106
2016-03-18,22:12:00,101
2016-03-18,22:12:00,109
2016-03-18,22:12:00,100
2016-03-18,22:12:00,106
2016-03-19,00:00:00,99
2016-03-19,00:00:00,90
2016-03-19,00:19:00,104
2016-03-19,00:19:00,95
2016-03-19,00:19:00,119
2016-03-19,00:19:00,87
2016-03-19,00:52:00,123
2016-03-19,00:52:00,130
2016-03-19,00:58:00,122
2016-03-19,00:58:00,86
2016-03-19,01:23:00,85
2016-03-19,01:33:00,93
2016-03-19,01:36:00,86
2016-03-19,01:56:00,92
2016-03-19,01:56:00,73
2016-03-19,02:07:00,87
2016-03-19,02:09:00,78
2016-03-19,02:09:00,78
2016-03-19,02:36:00,77
2016-03-19,02:58:00,77
